_id,timestamp,activity,x,y,z
6708d19115ad73d8693f5684,2024-10-11T07:19:45.106944,running,0.8629851999999999,-9.4536106,0
6708d19115ad73d8693f5685,2024-10-11T07:19:45.488485,running,-1.0198916,-9.5320638,-1.9221034
6708d19115ad73d8693f5686,2024-10-11T07:19:45.614679,running,1.4513842,-5.962443199999999,-1.3337044
6708d19115ad73d8693f5687,2024-10-11T07:19:45.741773,running,2.1966896,-12.081792799999999,4.0795664
6708d19115ad73d8693f5688,2024-10-11T07:19:45.871725,running,2.0397832,-9.7674234,-0.196133
6708d19115ad73d8693f5689,2024-10-11T07:19:45.997929,running,1.7259703999999998,-2.7850886,0.0784532
6708d19215ad73d8693f568a,2024-10-11T07:19:46.130675,running,2.6674088,-21.0254576,-0.1569064
6708d19215ad73d8693f568b,2024-10-11T07:19:46.260448,running,1.3729310000000001,-6.668522,-2.1182364
6708d19215ad73d8693f568c,2024-10-11T07:19:46.387351,running,2.3928225999999997,-3.6480737999999997,-0.0392266
6708d19215ad73d8693f568d,2024-10-11T07:19:46.519314,running,5.962443199999999,-17.2204774,1.3729310000000001
6708d19215ad73d8693f568e,2024-10-11T07:19:46.648153,running,0.7453053999999999,-2.7066354,0.6276256
6708d19215ad73d8693f568f,2024-10-11T07:19:46.774390,running,1.8044235999999998,-9.3359308,-1.7259703999999998
6708d19215ad73d8693f5690,2024-10-11T07:19:46.901388,running,0.980665,-19.848659599999998,-0.392266
6708d19315ad73d8693f5691,2024-10-11T07:19:47.027923,running,1.6082906,-1.6867438000000001,0.8237586
6708d19315ad73d8693f5692,2024-10-11T07:19:47.155947,running,1.6475172,-7.060788,-2.2751428
6708d19315ad73d8693f5693,2024-10-11T07:19:47.282000,running,4.707191999999999,-20.593965,-1.0198916
6708d19315ad73d8693f5694,2024-10-11T07:19:47.413450,running,1.3729310000000001,0.5883989999999999,2.7066354
6708d19315ad73d8693f5695,2024-10-11T07:19:47.540313,running,-0.0784532,-2.941995,-3.0596748
6708d19315ad73d8693f5696,2024-10-11T07:19:47.669343,running,4.314926,-21.6530832,-5.6486304
6708d19315ad73d8693f5697,2024-10-11T07:19:47.796109,running,-0.0784532,0.980665,5.2563644
6708d19315ad73d8693f5698,2024-10-11T07:19:47.924680,running,0.784532,-6.040896399999999,-3.5696205999999995
6708d19415ad73d8693f5699,2024-10-11T07:19:48.052318,running,3.5696205999999995,-22.476841800000003,-3.2558078
6708d19415ad73d8693f569a,2024-10-11T07:19:48.184878,running,0.5491724,0.4707192,3.0204481999999997
6708d19415ad73d8693f569b,2024-10-11T07:19:48.312338,running,2.157463,-12.160245999999999,-5.099458
6708d19415ad73d8693f569c,2024-10-11T07:19:48.444405,running,4.5895122,-14.906108,-0.3530394
6708d19415ad73d8693f569d,2024-10-11T07:19:48.578793,running,0.7453053999999999,-1.1767979999999998,2.6281822
6708d19415ad73d8693f569e,2024-10-11T07:19:48.705530,running,3.8834334,-12.8270982,-0.9022117999999999
6708d19415ad73d8693f569f,2024-10-11T07:19:48.833593,running,1.4513842,-16.2398124,-6.3154826
6708d19415ad73d8693f56a0,2024-10-11T07:19:48.961817,running,1.1375714,1.569064,3.334261
6708d19515ad73d8693f56a1,2024-10-11T07:19:49.089517,running,3.8442068,-12.5132854,-0.1569064
6708d19515ad73d8693f56a2,2024-10-11T07:19:49.216813,running,5.6094038,-16.788984799999998,-2.9812215999999996
6708d19515ad73d8693f56a3,2024-10-11T07:19:49.345030,running,0.5883989999999999,0.0392266,1.0198916
6708d19515ad73d8693f56a4,2024-10-11T07:19:49.473082,running,2.7066354,-8.1983594,-4.5502856
6708d19515ad73d8693f56a5,2024-10-11T07:19:49.600363,running,2.0790097999999997,-17.7304232,-5.1779112
6708d19515ad73d8693f56a6,2024-10-11T07:19:49.727440,running,0.3138128,2.1182364,2.8243152
6708d19515ad73d8693f56a7,2024-10-11T07:19:49.861153,running,3.8834334,-10.6696352,-0.1176798
